Name,Sector,URL,URL2
Arab Real Estate Investment (ALCO) (RREI),Real Estate Developers,https://www.marketwatch.com/investing/Stock/RREI?countryCode=EG,https://www.marketwatch.com/investing/stock/rrei/download-data?countrycode=eg&mod=mw_quote_tab
Arab Valves Co. (ARVA),Industrial Machinery,https://www.marketwatch.com/investing/Stock/ARVA?countryCode=EG,https://www.marketwatch.com/investing/stock/arva/download-data?countrycode=eg&mod=mw_quote_tab
Arabia Investments Holding (AIH),Finance Companies,https://www.marketwatch.com/investing/Stock/AIH?countryCode=EG,https://www.marketwatch.com/investing/stock/aih/download-data?countrycode=eg&mod=mw_quote_tab
Arabian Cement Co. (ARCC),Building Materials/Products,https://www.marketwatch.com/investing/Stock/ARCC?countryCode=EG,https://www.marketwatch.com/investing/stock/arcc/download-data?countrycode=eg&mod=mw_quote_tab
Arabian Food Industries Co. (DOMT),Food Products,https://www.marketwatch.com/investing/Stock/DOMT?countryCode=EG,https://www.marketwatch.com/investing/stock/domt/download-data?countrycode=eg&mod=mw_quote_tab
Asek Co. for Mining (ASCM),General Mining,https://www.marketwatch.com/investing/Stock/ASCM?countryCode=EG,https://www.marketwatch.com/investing/stock/ascm/download-data?countrycode=eg&mod=mw_quote_tab
Aspire Capital Holding for Financial Investments (ASPI),Securities,https://www.marketwatch.com/investing/Stock/ASPI?countryCode=EG,https://www.marketwatch.com/investing/stock/aspi/download-data?countrycode=eg&mod=mw_quote_tab
Atlas for Investment & Food Industry (AIFI),Farming,https://www.marketwatch.com/investing/Stock/AIFI?countryCode=EG,https://www.marketwatch.com/investing/stock/aifi/download-data?countrycode=eg&mod=mw_quote_tab
B Investments Holding S.A.E. (BINV),Investment Advisors,https://www.marketwatch.com/investing/Stock/BINV?countryCode=EG,https://www.marketwatch.com/investing/stock/binv/download-data?countrycode=eg&mod=mw_quote_tab
Barbary Investment Group (BIGP),Motor Vehicle Parts,https://www.marketwatch.com/investing/Stock/BIGP?countryCode=EG,https://www.marketwatch.com/investing/stock/bigp/download-data?countrycode=eg&mod=mw_quote_tab
Belton Financial Holding (BTFH),Investment Advisors,https://www.marketwatch.com/investing/Stock/BTFH?countryCode=EG,https://www.marketwatch.com/investing/stock/btfh/download-data?countrycode=eg&mod=mw_quote_tab
Cairo Educational Services S.A.E. (CAED),Consumer Services,https://www.marketwatch.com/investing/Stock/CAED?countryCode=EG,https://www.marketwatch.com/investing/stock/caed/download-data?countrycode=eg&mod=mw_quote_tab
Cairo for Investment & Real Estate Development SAE (CIRA),Real Estate Developers,https://www.marketwatch.com/investing/Stock/CIRA?countryCode=EG,https://www.marketwatch.com/investing/stock/cira/download-data?countrycode=eg&mod=mw_quote_tab
Cairo Oils & Soap (COSG),Personal Care Products/Appliances,https://www.marketwatch.com/investing/Stock/COSG?countryCode=EG,https://www.marketwatch.com/investing/stock/cosg/download-data?countrycode=eg&mod=mw_quote_tab
Cairo Pharmaceuticals & Chemicals Industries Co. (CPCI),Pharmaceuticals,https://www.marketwatch.com/investing/Stock/CPCI?countryCode=EG,https://www.marketwatch.com/investing/stock/cpci/download-data?countrycode=eg&mod=mw_quote_tab
Cairo Poultry Co. (POUL),Farming,https://www.marketwatch.com/investing/Stock/POUL?countryCode=EG,https://www.marketwatch.com/investing/stock/poul/download-data?countrycode=eg&mod=mw_quote_tab
Canal Shipping Agencies Co. (CSAG),Water Transport/Shipping,https://www.marketwatch.com/investing/Stock/CSAG?countryCode=EG,https://www.marketwatch.com/investing/stock/csag/download-data?countrycode=eg&mod=mw_quote_tab
